Year,PM,Bin,Min,Count,Frequency,Crash Type
2018,RT,0-5,0,158,0.167372881,PDO
2018,RT,5-10,5,116,0.122881356,PDO
2018,RT,10-15,10,130,0.137711864,PDO
2018,RT,15-20,15,96,0.101694915,PDO
2018,RT,20-25,20,59,0.0625,PDO
2018,RT,25-30,25,30,0.031779661,PDO
2018,RT,30-35,30,35,0.037076271,PDO
2018,RT,35-40,35,23,0.024364407,PDO
2018,RT,40-45,40,10,0.01059322,PDO
2018,RT,45-50,45,8,0.008474576,PDO
2018,RT,50-55,50,4,0.004237288,PDO
2018,RT,55-60,55,3,0.003177966,PDO
2018,RT,60-65,60,2,0.002118644,PDO
2018,RT,65-70,65,7,0.007415254,PDO
2018,RT,70-75,70,1,0.001059322,PDO
2018,RT,75+,75,8,0.008474576,PDO
2018,RT,0-5,0,23,0.024364407,PI
2018,RT,5-10,5,53,0.056144068,PI
2018,RT,10-15,10,67,0.070974576,PI
2018,RT,15-20,15,37,0.039194915,PI
2018,RT,20-25,20,26,0.027542373,PI
2018,RT,25-30,25,13,0.013771186,PI
2018,RT,30-35,30,9,0.009533898,PI
2018,RT,35-40,35,6,0.006355932,PI
2018,RT,40-45,40,4,0.004237288,PI
2018,RT,45-50,45,1,0.001059322,PI
2018,RT,50-55,50,1,0.001059322,PI
2018,RT,55-60,55,1,0.001059322,PI
2018,RT,60-65,60,0,0,PI
2018,RT,65-70,65,0,0,PI
2018,RT,70-75,70,1,0.001059322,PI
2018,RT,75+,75,2,0.002118644,PI
2018,RT,0-5,0,0,0,FII
2018,RT,5-10,5,1,0.001059322,FII
2018,RT,10-15,10,1,0.001059322,FII
2018,RT,15-20,15,0,0,FII
2018,RT,20-25,20,0,0,FII
2018,RT,25-30,25,1,0.001059322,FII
2018,RT,30-35,30,0,0,FII
2018,RT,35-40,35,1,0.001059322,FII
2018,RT,40-45,40,0,0,FII
2018,RT,45-50,45,3,0.003177966,FII
2018,RT,50-55,50,0,0,FII
2018,RT,55-60,55,0,0,FII
2018,RT,60-65,60,0,0,FII
2018,RT,65-70,65,0,0,FII
2018,RT,70-75,70,0,0,FII
2018,RT,75+,75,3,0.003177966,FII
2018,RCT,0-15,0,44,0.046610169,PDO
2018,RCT,15-30,15,36,0.038135593,PDO
2018,RCT,30-45,30,19,0.020127119,PDO
2018,RCT,45-60,45,14,0.014830508,PDO
2018,RCT,60-75,60,19,0.020127119,PDO
2018,RCT,75-90,75,1,0.001059322,PDO
2018,RCT,90-105,90,6,0.006355932,PDO
2018,RCT,105-120,105,7,0.007415254,PDO
2018,RCT,120-135,120,5,0.00529661,PDO
2018,RCT,135-150,135,0,0,PDO
2018,RCT,150-165,150,0,0,PDO
2018,RCT,165-180,165,0,0,PDO
2018,RCT,180-195,180,0,0,PDO
2018,RCT,195-210,195,1,0.001059322,PDO
2018,RCT,210-225,210,0,0,PDO
2018,RCT,225+,225,1,0.001059322,PDO
2018,RCT,0-15,0,16,0.016949153,PI
2018,RCT,15-30,15,29,0.030720339,PI
2018,RCT,30-45,30,26,0.027542373,PI
2018,RCT,45-60,45,22,0.023305085,PI
2018,RCT,60-75,60,24,0.025423729,PI
2018,RCT,75-90,75,7,0.007415254,PI
2018,RCT,90-105,90,8,0.008474576,PI
2018,RCT,105-120,105,4,0.004237288,PI
