Year,Date,Time,Location,Crash Type,Number of IMT Teams,Number of UHP Teams,RT,RT for IMT sec,RT for UHP,RT for UHP min,RT for UHP sec,RCT,RCT for IMT Numeric sec,Ln RCT for IMT,ICT,ICT for IMT Numeric sec,Ln ICT for IMT,ICT for UHP Numeric min,ICT for UHP Numeric sec,Ln ICT for UHP,Lanes at Bottleneck,Number of Lanes Closed,Lanes Available,Time Weighted Number of Lanes Closed,Roadway Capacity,Lane Ratio,AV,Ln AV,ETT,Ln ETT,EUC,Ln Cost,Time Range,T7-T5,T7T5,T7-T5 Sec,Ln T7-T5,T7T0,T7-T0 min,T7-T0 sec,Ln T7-T0,T5-T0,T5-T0 min,T5-T0 sec,Ln T5-T0,T5-T7 min,T5-T7 sec,Ln T5-T7
2018,3/1/18,14:33:27,8200 S I15 NB                                               ,PI Crash,1,4,22.08333334,1325,0:00:00,0,0,71.55,4293,4.270396506,72.88333333,4373,4.288859989,92.53,5552,8.621913502,6,1,5,1,0.83,0.167,8244,9.017240942,749.32,6.62,20130.41,9.91,Afternoon Off Peak,0:05,5,300,1.609437912,1:20,80,4800,4.382026635,1:15,75,4500,4.317488114,,,
2018,3/1/18,15:12:48,10700 S I15 NB                                              ,PD Crash,1,1,15.93333334,956.0000004,0:18:37,18.62,1117,29.20000001,1752.000001,3.37416871,79.10000001,4746.000001,4.370712875,78.98,4739,8.463581422,5,2,3,1.63,0.68,0.4,10630,9.271435471,755.07,6.63,20284.88,9.92,Afternoon Off Peak,0:58,58,3480,4.060443011,1:30,90,5400,4.49980967,0:32,32,1920,3.465735903,,,
2018,3/1/18,17:30:53,14793 S I15 SB                                              ,PI Crash,1,2,10.7,642,0:00:00,0,0,24.11666667,1447,3.182903165,30.76666666,1846,3.426431853,142.65,8559,9.05473864,7,2,5,2,0.71,0.286,6877,8.835937789,331.53,5.8,8046.62,8.99,PM Peak,0:25,25,1500,3.218875825,0:50,50,3000,3.912023005,0:25,25,1500,3.218875825,,,
2018,3/2/18,7:29:18,277023 I15 NB                                               ,PD Crash,1,5,20.41666666,1225,0:00:01,0.02,1,9.699999994,581.9999996,2.272125885,55.58333332,3334.999999,4.017883396,98.08,5885,8.68016202,6,1,5,1,0.83,0.167,4371,8.382747095,288.19,5.66,6369.82,8.76,AM Peak,0:41,41,2460,3.713572067,0:50,50,3000,3.912023005,0:09,9,540,2.197224577,,,
2018,3/2/18,7:59:07,274983 I15 NB                                               ,PI Crash,2,3,39.23333334,2354,0:13:22,13.37,802,18.88333334,1133,2.938279699,18.88333334,1133,2.938279699,104.7,6282,8.74544368,6,2,4,1,0.83,0.333,7295,8.894944461,301.89,5.71,6672.63,8.81,AM Peak,0:37,37,2220,3.610917913,1:11,71,4260,4.262679877,0:34,34,2040,3.526360525,,,
2018,3/4/18,11:41:15,500 S I15 SB                                                ,PD Crash,1,4,19.6,1176,0:03:33,3.55,213,42.75000001,2565.000001,3.755369196,42.75000001,2565.000001,3.755369196,21.75,1305,7.17395832,5,3,2,1.89,0.62,0.6,1545,7.342779189,45.33,3.81,1232.31,7.12,Afternoon Off Peak,,-14,-840,,0:30,30,1800,3.401197382,0:44,44,2640,3.784189634,14,840,2.63905733
2018,3/5/18,15:32:37,8900 S I15 NB                                               ,PD Crash,2,4,19.91666667,1195,0:09:18,9.3,558,16.38333334,983.0000004,2.796264558,64.51666667,3871,4.166923588,64.52,3871,8.261268151,5,2,3,2,0.6,0.4,8527,9.050992879,2086.15,7.64,56044.22,10.93,Afternoon Off Peak,0:56,56,3360,4.025351691,1:13,73,4380,4.290459441,0:17,17,1020,2.833213344,,,
2018,3/6/18,9:02:50,3800 S I215E SB                                             ,PI Crash,2,4,7.966666664,477.9999998,0:07:58,7.97,478,56.16666667,3370,4.028323461,58.11666666,3487,4.062452484,90.35,5421,8.598035579,3,2,1,1.48,0.51,0.667,1792,7.491087594,14.64,2.68,326.37,5.79,AM Peak,,-4,-240,,0:55,55,3300,4.007333185,0:59,59,3540,4.077537444,4,240,1.386294361
2018,3/6/18,16:41:15,376 N I215W NB                                              ,PD Crash,1,1,29.96666666,1798,0:19:28,19.47,1168,28.75,1725,3.358637767,130.9333333,7855.999998,4.874688288,128.67,7720,8.951569643,3,1,2,1,0.67,0.333,8933,9.097507564,580.07,6.36,14868.71,9.61,PM Peak,1:35,95,5700,4.553876892,2:05,125,7500,4.828313737,0:30,30,1800,3.401197382,,,
2018,3/7/18,7:31:06,7762 E I80 EB                                               ,PD Crash,2,3,20.28333334,1217,0:11:55,11.92,715,26.9,1614,3.292126287,95.01666668,5701.000001,4.554052315,79.03,4742,8.464214267,3,1,2,1,0.67,0.333,2605,7.865187954,46.95,3.85,1124.1,7.02,AM Peak,0:27,27,1620,3.295836866,1:00,60,3600,4.094344562,0:33,33,1980,3.496507561,,,
